,Year,StateAbbr,CityName,GeographicLevel,UniqueID,Measure,DataValue,LowConfidenceLimit,HighConfidenceLimit,PopulationCount,GeoLocation,MeasureId,CityFIPS,ShortQuestionText,lats,longs,top5state,geometry
0,2016,WA,Yakima,City,5380010,"Older adult men aged >=65 Years who are up to date on a core set of clinical preventive services: Flu shot past Year, PPV shot ever, Colorectal cancer screening",31.3,29.6,33.0,91067,"['46.5925792092', ' -120.547807614']",COREM,5380010,Core preventive services for older men,46.5925792092,-120.547807614,no,POINT (46.5925792092 -120.547807614)
1,2016,AZ,Avondale,City,404720,"Older adult women aged >=65 Years who are up to date on a core set of clinical preventive services: Flu shot past Year, PPV shot ever, Colorectal cancer screening, and Mammogram past 2 Years",27.5,26.6,28.3,76238,"['33.3858367405', ' -112.323626619']",COREW,404720,Core preventive services for older women,33.3858367405,-112.323626619,no,POINT (33.3858367405 -112.323626619)
2,2016,AZ,Chandler,City,412000,"Older adult women aged >=65 Years who are up to date on a core set of clinical preventive services: Flu shot past Year, PPV shot ever, Colorectal cancer screening, and Mammogram past 2 Years",34.5,33.7,35.3,236123,"['33.28318981', ' -111.852210033']",COREW,412000,Core preventive services for older women,33.28318981,-111.852210033,no,POINT (33.28318981 -111.852210033)
3,2016,AZ,Gilbert,City,427400,"Older adult men aged >=65 Years who are up to date on a core set of clinical preventive services: Flu shot past Year, PPV shot ever, Colorectal cancer screening",39.1,38.0,40.2,208453,"['33.310149392', ' -111.746237467']",COREM,427400,Core preventive services for older men,33.310149392,-111.746237467,no,POINT (33.310149392 -111.746237467)
4,2016,AL,Montgomery,City,151000,"Older adult men aged >=65 Years who are up to date on a core set of clinical preventive services: Flu shot past Year, PPV shot ever, Colorectal cancer screening",33.6,32.6,34.6,205764,"['32.3472645333', ' -86.2677059552']",COREM,151000,Core preventive services for older men,32.3472645333,-86.2677059552,no,POINT (32.3472645333 -86.2677059552)
5,2016,AZ,Avondale,City,404720,"Older adult men aged >=65 Years who are up to date on a core set of clinical preventive services: Flu shot past Year, PPV shot ever, Colorectal cancer screening",30.4,29.3,31.5,76238,"['33.3858367405', ' -112.323626619']",COREM,404720,Core preventive services for older men,33.3858367405,-112.323626619,no,POINT (33.3858367405 -112.323626619)
6,2016,AL,Tuscaloosa,City,177256,"Older adult men aged >=65 Years who are up to date on a core set of clinical preventive services: Flu shot past Year, PPV shot ever, Colorectal cancer screening",36.0,34.6,37.4,90468,"['33.2336083951', ' -87.5268004073']",COREM,177256,Core preventive services for older men,33.2336083951,-87.5268004073,no,POINT (33.2336083951 -87.5268004073)
7,2016,AL,Tuscaloosa,City,177256,"Older adult women aged >=65 Years who are up to date on a core set of clinical preventive services: Flu shot past Year, PPV shot ever, Colorectal cancer screening, and Mammogram past 2 Years",31.7,30.6,32.8,90468,"['33.2336083951', ' -87.5268004073']",COREW,177256,Core preventive services for older women,33.2336083951,-87.5268004073,no,POINT (33.2336083951 -87.5268004073)
8,2016,AL,Huntsville,City,137000,"Older adult women aged >=65 Years who are up to date on a core set of clinical preventive services: Flu shot past Year, PPV shot ever, Colorectal cancer screening, and Mammogram past 2 Years",39.5,38.6,40.4,180105,"['34.6989692671', ' -86.6387042882']",COREW,137000,Core preventive services for older women,34.6989692671,-86.6387042882,no,POINT (34.6989692671 -86.6387042882)
9,2016,AL,Montgomery,City,151000,"Older adult women aged >=65 Years who are up to date on a core set of clinical preventive services: Flu shot past Year, PPV shot ever, Colorectal cancer screening, and Mammogram past 2 Years",31.0,30.3,31.8,205764,"['32.3472645333', ' -86.2677059552']",COREW,151000,Core preventive services for older women,32.3472645333,-86.2677059552,no,POINT (32.3472645333 -86.2677059552)
10,2016,AL,Hoover,City,135896,"Older adult men aged >=65 Years who are up to date on a core set of clinical preventive services: Flu shot past Year, PPV shot ever, Colorectal cancer screening",46.3,44.7,48.0,81619,"['33.3767602729', ' -86.8051937568']",COREM,135896,Core preventive services for older men,33.3767602729,-86.8051937568,no,POINT (33.3767602729 -86.8051937568)
11,2016,AZ,Peoria,City,454050,"Older adult men aged >=65 Years who are up to date on a core set of clinical preventive services: Flu shot past Year, PPV shot ever, Colorectal cancer screening",37.9,36.8,38.9,154065,"['33.7847206422', ' -112.298680584']",COREM,454050,Core preventive services for older men,33.7847206422,-112.298680584,no,POINT (33.7847206422 -112.298680584)
12,2016,AR,Little Rock,City,541000,"Older adult women aged >=65 Years who are up to date on a core set of clinical preventive services: Flu shot past Year, PPV shot ever, Colorectal cancer screening, and Mammogram past 2 Years",31.4,30.7,32.1,193524,"['34.7253957894', ' -92.3583751863']",COREW,541000,Core preventive services for older women,34.7253957894,-92.3583751863,no,POINT (34.7253957894 -92.3583751863)
13,2016,AZ,Tucson,City,477000,"Older adult men aged >=65 Years who are up to date on a core set of clinical preventive services: Flu shot past Year, PPV shot ever, Colorectal cancer screening",35.0,34.5,35.5,520116,"['32.1567244483', ' -110.877085494']",COREM,477000,Core preventive services for older men,32.1567244483,-110.877085494,no,POINT (32.1567244483 -110.877085494)
14,2016,AR,Fort Smith,City,524550,"Older adult men aged >=65 Years who are up to date on a core set of clinical preventive services: Flu shot past Year, PPV shot ever, Colorectal cancer screening",27.4,26.1,28.8,86209,"['35.3491692636', ' -94.3696317306']",COREM,524550,Core preventive services for older men,35.3491692636,-94.3696317306,no,POINT (35.3491692636 -94.3696317306)
15,2016,CA,Alameda,City,600562,"Older adult women aged >=65 Years who are up to date on a core set of clinical preventive services: Flu shot past Year, PPV shot ever, Colorectal cancer screening, and Mammogram past 2 Years",35.9,34.6,37.1,73812,"['37.7650849031', ' -122.266489842']",COREW,600562,Core preventive services for older women,37.7650849031,-122.266489842,yes,POINT (37.7650849031 -122.266489842)
16,2016,CA,Antioch,City,602252,"Older adult women aged >=65 Years who are up to date on a core set of clinical preventive services: Flu shot past Year, PPV shot ever, Colorectal cancer screening, and Mammogram past 2 Years",31.8,30.9,32.8,102372,"['37.9777042922', ' -121.796606971']",COREW,602252,Core preventive services for older women,37.9777042922,-121.796606971,yes,POINT (37.9777042922 -121.796606971)
17,2016,AR,Springdale,City,566080,"Older adult men aged >=65 Years who are up to date on a core set of clinical preventive services: Flu shot past Year, PPV shot ever, Colorectal cancer screening",32.3,30.6,34.2,69797,"['36.1869932598', ' -94.1536274531']",COREM,566080,Core preventive services for older men,36.1869932598,-94.1536274531,no,POINT (36.1869932598 -94.1536274531)
18,2016,AZ,Tempe,City,473000,"Older adult men aged >=65 Years who are up to date on a core set of clinical preventive services: Flu shot past Year, PPV shot ever, Colorectal cancer screening",37.0,36.0,38.0,161719,"['33.3882640307', ' -111.931802302']",COREM,473000,Core preventive services for older men,33.3882640307,-111.931802302,no,POINT (33.3882640307 -111.931802302)
19,2016,AZ,Surprise,City,471510,"Older adult women aged >=65 Years who are up to date on a core set of clinical preventive services: Flu shot past Year, PPV shot ever, Colorectal cancer screening, and Mammogram past 2 Years",36.0,34.5,37.4,117517,"['33.6803835177', ' -112.452218439']",COREW,471510,Core preventive services for older women,33.6803835177,-112.452218439,no,POINT (33.6803835177 -112.452218439)
20,2016,CA,Alameda,City,600562,"Older adult men aged >=65 Years who are up to date on a core set of clinical preventive services: Flu shot past Year, PPV shot ever, Colorectal cancer screening",36.9,35.6,38.3,73812,"['37.7650849031', ' -122.266489842']",COREM,600562,Core preventive services for older men,37.7650849031,-122.266489842,yes,POINT (37.7650849031 -122.266489842)
21,2016,CA,Alhambra,City,600884,"Older adult men aged >=65 Years who are up to date on a core set of clinical preventive services: Flu shot past Year, PPV shot ever, Colorectal cancer screening",25.9,25.0,26.8,83089,"['34.0839734383', ' -118.135514119']",COREM,600884,Core preventive services for older men,34.0839734383,-118.135514119,yes,POINT (34.0839734383 -118.135514119)
22,2016,CA,Alhambra,City,600884,"Older adult women aged >=65 Years who are up to date on a core set of clinical preventive services: Flu shot past Year, PPV shot ever, Colorectal cancer screening, and Mammogram past 2 Years",32.3,31.4,33.2,83089,"['34.0839734383', ' -118.135514119']",COREW,600884,Core preventive services for older women,34.0839734383,-118.135514119,yes,POINT (34.0839734383 -118.135514119)
23,2016,AZ,Yuma,City,485540,"Older adult men aged >=65 Years who are up to date on a core set of clinical preventive services: Flu shot past Year, PPV shot ever, Colorectal cancer screening",31.4,29.9,32.9,93064,"['32.5986027117', ' -114.54836837']",COREM,485540,Core preventive services for older men,32.5986027117,-114.54836837,no,POINT (32.5986027117 -114.54836837)
