Year,StateAbbr,StateDesc,CityName,GeographicLevel,DataSource,Category,UniqueID,Measure,Data_Value_Unit,DataValueTypeID,Data_Value_Type,Data_Value,Low_Confidence_Limit,High_Confidence_Limit,Data_Value_Footnote_Symbol,Data_Value_Footnote,PopulationCount,GeoLocation,CategoryID,MeasureId,CityFIPS,TractFIPS,Short_Question_Text
2016,WA,Washington,Yakima,City,BRFSS,Prevention,5380010,"Older adult men aged >=65 Years who are up to date on a core set of clinical preventive services: Flu shot past Year, PPV shot ever, Colorectal cancer screening",%,CrdPrv,Crude prevalence,31.3,29.6,33,,,"91,067","(46.5925792092, -120.547807614)",PREVENT,COREM,5380010,,Core preventive services for older men
2016,AZ,Arizona,Avondale,City,BRFSS,Prevention,404720,"Older adult women aged >=65 Years who are up to date on a core set of clinical preventive services: Flu shot past Year, PPV shot ever, Colorectal cancer screening, and Mammogram past 2 Years",%,CrdPrv,Crude prevalence,27.5,26.6,28.3,,,"76,238","(33.3858367405, -112.323626619)",PREVENT,COREW,404720,,Core preventive services for older women
2016,AZ,Arizona,Chandler,City,BRFSS,Prevention,412000,"Older adult women aged >=65 Years who are up to date on a core set of clinical preventive services: Flu shot past Year, PPV shot ever, Colorectal cancer screening, and Mammogram past 2 Years",%,CrdPrv,Crude prevalence,34.5,33.7,35.3,,,"236,123","(33.28318981, -111.852210033)",PREVENT,COREW,412000,,Core preventive services for older women
2016,AZ,Arizona,Gilbert,City,BRFSS,Prevention,427400,"Older adult men aged >=65 Years who are up to date on a core set of clinical preventive services: Flu shot past Year, PPV shot ever, Colorectal cancer screening",%,CrdPrv,Crude prevalence,39.1,38,40.2,,,"208,453","(33.310149392, -111.746237467)",PREVENT,COREM,427400,,Core preventive services for older men
2016,AL,Alabama,Montgomery,City,BRFSS,Prevention,151000,"Older adult men aged >=65 Years who are up to date on a core set of clinical preventive services: Flu shot past Year, PPV shot ever, Colorectal cancer screening",%,CrdPrv,Crude prevalence,33.6,32.6,34.6,,,"205,764","(32.3472645333, -86.2677059552)",PREVENT,COREM,151000,,Core preventive services for older men
2016,AZ,Arizona,Avondale,City,BRFSS,Prevention,404720,"Older adult men aged >=65 Years who are up to date on a core set of clinical preventive services: Flu shot past Year, PPV shot ever, Colorectal cancer screening",%,CrdPrv,Crude prevalence,30.4,29.3,31.5,,,"76,238","(33.3858367405, -112.323626619)",PREVENT,COREM,404720,,Core preventive services for older men
2016,AL,Alabama,Tuscaloosa,City,BRFSS,Prevention,177256,"Older adult men aged >=65 Years who are up to date on a core set of clinical preventive services: Flu shot past Year, PPV shot ever, Colorectal cancer screening",%,CrdPrv,Crude prevalence,36,34.6,37.4,,,"90,468","(33.2336083951, -87.5268004073)",PREVENT,COREM,177256,,Core preventive services for older men
2016,AL,Alabama,Tuscaloosa,City,BRFSS,Prevention,177256,"Older adult women aged >=65 Years who are up to date on a core set of clinical preventive services: Flu shot past Year, PPV shot ever, Colorectal cancer screening, and Mammogram past 2 Years",%,CrdPrv,Crude prevalence,31.7,30.6,32.8,,,"90,468","(33.2336083951, -87.5268004073)",PREVENT,COREW,177256,,Core preventive services for older women
2016,AL,Alabama,Huntsville,City,BRFSS,Prevention,137000,"Older adult women aged >=65 Years who are up to date on a core set of clinical preventive services: Flu shot past Year, PPV shot ever, Colorectal cancer screening, and Mammogram past 2 Years",%,CrdPrv,Crude prevalence,39.5,38.6,40.4,,,"180,105","(34.6989692671, -86.6387042882)",PREVENT,COREW,137000,,Core preventive services for older women
2016,AL,Alabama,Montgomery,City,BRFSS,Prevention,151000,"Older adult women aged >=65 Years who are up to date on a core set of clinical preventive services: Flu shot past Year, PPV shot ever, Colorectal cancer screening, and Mammogram past 2 Years",%,CrdPrv,Crude prevalence,31,30.3,31.8,,,"205,764","(32.3472645333, -86.2677059552)",PREVENT,COREW,151000,,Core preventive services for older women
